sex,sex_zh,height_cm,shoe_length_cm
female,女性,121.83,15.6
female,女性,110.31,17.52
female,女性,116.04,18.64
female,女性,140.37,19.21
female,女性,118.99,19.32
female,女性,114.59,18.59
female,女性,114.01,17.61
female,女性,106.25,13.95
female,女性,100.26,15.65
female,女性,98.43,13.62
female,女性,139.36,19.3
female,女性,106.45,14.7
female,女性,102.39,15.35
female,女性,84.77,13.03
female,女性,95.58,13.01
female,女性,88.07,11.95
female,女性,95.45,12.47
female,女性,100.13,15.54
female,女性,117.45,14.93
female,女性,106.04,15.12
female,女性,102.95,13.69
female,女性,127.39,17.88
female,女性,109.95,16.49
female,女性,114.86,14.64
female,女性,145.0,23.61
female,女性,96.13,15.25
female,女性,124.65,17.39
female,女性,137.65,21.13
female,女性,151.98,21.21
female,女性,109.25,14.04
female,女性,147.53,20.98
female,女性,117.8,17.26
female,女性,80.96,12.27
female,女性,112.9,16.12
female,女性,115.54,17.16
female,女性,138.28,18.75
female,女性,147.1,18.89
female,女性,117.64,18.63
female,女性,145.03,20.62
female,女性,113.47,16.68
female,女性,101.51,16.8
female,女性,87.18,13.34
female,女性,140.39,19.65
female,女性,101.67,14.48
female,女性,123.86,16.93
female,女性,150.65,18.92
female,女性,92.46,11.57
female,女性,86.73,14.03
female,女性,130.94,16.52
female,女性,141.99,17.85
female,女性,148.18,18.53
female,女性,80.4,11.67
female,女性,85.32,13.95
female,女性,101.39,14.82
female,女性,152.64,22.02
female,女性,125.34,19.75
female,女性,102.11,15.19
female,女性,109.21,18.05
female,女性,107.27,16.67
female,女性,100.17,13.25
female,女性,124.44,17.04
female,女性,100.85,13.94
female,女性,132.84,18.25
female,女性,119.71,19.52
female,女性,88.69,11.86
female,女性,129.51,16.75
female,女性,126.13,18.19
female,女性,102.79,15.95
female,女性,125.96,17.84
female,女性,110.84,15.8
female,女性,80.96,10.34
female,女性,96.89,13.15
female,女性,93.14,13.08
female,女性,107.71,15.34
female,女性,86.17,12.1
female,女性,91.68,14.05
female,女性,85.93,11.78
female,女性,94.41,13.51
female,女性,113.57,18.38
female,女性,92.4,12.52
female,女性,122.57,18.04
female,女性,145.17,22.23
female,女性,80.52,10.52
female,女性,130.58,20.35
female,女性,91.08,12.52
female,女性,145.24,24.21
female,女性,116.52,16.53
female,女性,94.79,13.43
female,女性,96.44,12.32
female,女性,131.66,20.58
female,女性,79.73,10.08
female,女性,115.45,17.54
female,女性,99.33,15.05
female,女性,130.79,18.7
female,女性,81.58,11.02
female,女性,109.22,14.03
female,女性,113.22,17.15
female,女性,115.85,17.81
female,女性,112.98,15.27
female,女性,111.78,16.91
female,女性,103.9,16.27
female,女性,103.73,14.2
female,女性,83.02,10.98
female,女性,136.18,17.32
female,女性,80.88,12.58
female,女性,148.11,21.51
female,女性,114.84,17.76
female,女性,121.59,17.88
female,女性,124.87,16.37
female,女性,132.64,17.34
female,女性,108.4,17.25
female,女性,142.12,21.31
female,女性,152.17,21.6
female,女性,106.41,15.82
female,女性,90.9,13.5
female,女性,152.78,21.64
female,女性,146.6,19.25
female,女性,87.14,11.09
female,女性,97.49,12.75
female,女性,149.46,22.26
female,女性,149.29,23.87
female,女性,141.05,20.34
female,女性,105.48,14.3
female,女性,101.59,16.6
female,女性,147.2,23.04
female,女性,133.28,17.2
female,女性,120.57,17.26
female,女性,141.58,18.33
female,女性,121.72,17.37
female,女性,133.54,19.57
female,女性,100.57,13.32
female,女性,89.95,12.54
female,女性,136.96,17.59
female,女性,95.05,14.4
female,女性,125.55,16.0
female,女性,106.88,13.74
female,女性,96.34,12.65
female,女性,146.07,22.07
female,女性,126.85,20.41
female,女性,132.71,17.38
female,女性,141.82,20.0
female,女性,105.39,16.75
female,女性,109.98,17.02
female,女性,124.85,20.75
female,女性,140.53,19.5
female,女性,85.83,12.7
female,女性,102.56,14.78
female,女性,134.3,21.89
female,女性,152.31,19.74
female,女性,152.45,19.17
female,女性,139.15,21.9
female,女性,96.47,12.16
female,女性,133.16,19.05
female,女性,88.72,11.73
female,女性,99.21,15.58
female,女性,122.43,17.22
female,女性,147.62,21.11
female,女性,86.47,13.46
female,女性,123.65,18.89
female,女性,121.01,15.91
female,女性,130.27,18.37
female,女性,82.22,10.43
female,女性,118.15,17.59
female,女性,98.13,15.09
female,女性,80.63,12.92
female,女性,151.06,24.11
female,女性,135.76,20.97
female,女性,132.25,18.98
female,女性,149.34,22.76
female,女性,123.61,19.3
female,女性,148.12,23.85
female,女性,149.49,19.65
female,女性,102.54,14.4
female,女性,80.47,11.09
female,女性,145.05,22.59
female,女性,144.99,19.87
female,女性,120.94,15.3
female,女性,124.85,17.69
female,女性,90.01,13.66
female,女性,132.86,18.39
female,女性,107.87,15.1
female,女性,141.62,18.58
female,女性,101.39,14.38
female,女性,121.5,17.21
female,女性,151.78,21.19
female,女性,82.62,11.0
female,女性,114.73,16.61
female,女性,101.02,13.31
female,女性,81.35,13.0
female,女性,131.83,17.51
female,女性,143.93,18.46
female,女性,114.26,16.44
female,女性,151.68,23.59
female,女性,121.34,16.48
female,女性,135.26,18.06
female,女性,146.15,19.2
female,女性,129.54,20.41
female,女性,116.71,16.7
female,女性,144.13,19.85
male,男性,91.75,13.65
male,男性,133.07,19.75
male,男性,149.13,19.82
male,男性,96.86,13.05
male,男性,78.11,10.26
male,男性,149.54,19.65
male,男性,142.85,20.27
male,男性,86.2,11.01
male,男性,88.24,13.04
male,男性,128.53,20.98
male,男性,148.45,22.24
male,男性,75.73,11.36
male,男性,138.98,17.69
male,男性,108.8,14.9
male,男性,109.71,16.66
male,男性,79.49,12.25
male,男性,106.26,15.92
male,男性,148.15,20.83
male,男性,81.87,13.46
male,男性,111.0,17.95
male,男性,108.95,15.72
male,男性,105.74,14.7
male,男性,111.28,15.78
male,男性,76.79,12.33
male,男性,108.55,14.64
male,男性,108.31,15.01
male,男性,124.59,20.09
male,男性,102.64,14.1
male,男性,119.04,18.92
male,男性,96.77,13.37
male,男性,79.49,13.18
male,男性,120.61,19.29
male,男性,131.48,18.76
male,男性,81.09,12.04
male,男性,97.42,15.95
male,男性,122.27,18.68
male,男性,145.93,22.31
male,男性,89.28,11.43
male,男性,92.16,12.81
male,男性,132.1,17.7
male,男性,121.62,18.4
male,男性,147.34,19.86
male,男性,122.33,19.71
male,男性,132.15,21.94
male,男性,139.34,18.84
male,男性,94.56,14.04
male,男性,140.89,20.55
male,男性,127.97,17.69
male,男性,106.21,13.62
male,男性,95.7,13.47
male,男性,105.09,15.14
male,男性,80.64,11.54
male,男性,114.54,15.17
male,男性,137.71,19.35
male,男性,147.51,19.27
male,男性,90.23,11.45
male,男性,112.62,17.12
male,男性,79.96,10.55
male,男性,117.87,17.96
male,男性,126.59,16.54
male,男性,91.24,14.11
male,男性,84.51,12.8
male,男性,95.38,12.35
male,男性,121.17,16.23
male,男性,75.48,11.49
male,男性,92.97,14.56
male,男性,141.5,18.91
male,男性,111.85,14.76
male,男性,83.53,10.53
male,男性,138.66,17.93
male,男性,149.61,23.33
male,男性,98.74,13.73
male,男性,120.98,16.4
male,男性,111.44,18.13
male,男性,96.98,13.43
male,男性,105.05,17.11
male,男性,110.16,15.28
male,男性,125.47,18.9
male,男性,133.44,21.88
male,男性,80.92,11.45
male,男性,116.58,16.02
male,男性,121.47,15.88
male,男性,75.88,12.53
male,男性,136.85,20.57
male,男性,106.79,13.54
male,男性,142.17,21.92
male,男性,147.1,19.8
male,男性,131.12,20.57
male,男性,147.76,23.48
male,男性,118.93,18.13
male,男性,111.05,16.42
male,男性,76.69,9.74
male,男性,109.22,14.8
male,男性,90.8,11.72
male,男性,116.3,15.58
male,男性,102.84,15.87
male,男性,141.71,18.66
male,男性,91.47,14.78
male,男性,106.03,15.78
male,男性,103.45,13.2
male,男性,98.99,16.18
male,男性,135.74,21.67
male,男性,133.37,22.11
male,男性,108.02,13.91
male,男性,111.8,17.32
male,男性,110.62,14.68
male,男性,82.06,11.19
male,男性,128.6,19.57
male,男性,84.12,13.0
male,男性,105.82,14.13
male,男性,87.63,11.04
male,男性,84.36,10.88
male,男性,112.85,16.55
male,男性,107.02,14.83
male,男性,104.91,14.57
male,男性,89.71,14.76
male,男性,106.53,14.46
male,男性,93.92,12.32
male,男性,95.7,14.25
male,男性,90.7,11.75
male,男性,86.37,10.82
male,男性,83.88,11.71
male,男性,83.45,10.68
male,男性,79.32,11.55
male,男性,107.21,16.16
male,男性,122.39,20.12
male,男性,95.91,13.21
male,男性,85.8,13.13
male,男性,129.44,16.29
male,男性,110.45,15.13
male,男性,132.78,17.81
male,男性,129.82,16.52
male,男性,102.62,13.52
male,男性,129.68,16.28
male,男性,125.24,17.33
male,男性,103.44,16.23
male,男性,142.13,22.14
male,男性,86.46,11.12
male,男性,77.78,12.21
male,男性,83.71,10.87
male,男性,83.43,10.83
